,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.000034,0.000016,0.000077,0.000034
"[45.0, 5.0, 75.0, 35.0]",0.000077,-0.5,0.00017,0.000034
"[85.0, 5.0, 115.0, 35.0]",0.00017,-0.5,0.000378,0.000077
"[125.0, 5.0, 155.0, 35.0]",0.000378,0.000841,-0.5,0.00017
"[165.0, 5.0, 195.0, 35.0]",0,0,0,0
"[205.0, 5.0, 235.0, 35.0]",0.001868,0.004152,0.001868,-0.49995
"[5.0, 45.0, 35.0, 75.0]",0.000034,0.000007,-0.499995,0.000016
"[45.0, 45.0, 75.0, 75.0]",0,0,0,0
"[85.0, 45.0, 115.0, 75.0]",0,0,0,0
"[125.0, 45.0, 155.0, 75.0]",0.000378,0.000378,0.001868,-0.5
"[165.0, 45.0, 195.0, 75.0]",-0.5,-0.5,0.004152,0.000841
"[205.0, 45.0, 235.0, 75.0]",0.001868,0.009226,0.004152,0.001868
"[5.0, 85.0, 35.0, 115.0]",0.000016,0.0,-0.354199,0.000002
"[45.0, 85.0, 75.0, 115.0]",0,0,0,0
"[85.0, 85.0, 115.0, 115.0]",-0.159384,0.0,0.000378,-0.216012
"[125.0, 85.0, 155.0, 115.0]",0.000841,-0.499939,-0.499971,0.00017
"[165.0, 85.0, 195.0, 115.0]",0,0,0,0
"[205.0, 85.0, 235.0, 115.0]",0.004152,0.020503,0.009226,-0.5
"[5.0, 125.0, 35.0, 155.0]",0.000003,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.221692,0.0,0.0,0.0
"[85.0, 125.0, 115.0, 155.0]",0.000019,-0.138101,-0.172872,0.0
"[125.0, 125.0, 155.0, 155.0]",0,0,0,0
"[165.0, 125.0, 195.0, 155.0]",-0.5,0.10125,0.020503,-0.5
"[205.0, 125.0, 235.0, 155.0]",0.009226,-0.5,0.020503,0.045562
"[5.0, 165.0, 35.0, 195.0]",0.0,-0.204302,0.0,0.0
"[45.0, 165.0, 75.0, 195.0]",0.0,0.0,-0.185826,0.0
"[85.0, 165.0, 115.0, 195.0]",0,0,0,0
"[125.0, 165.0, 155.0, 195.0]",-0.499871,-0.499836,0.10125,-0.4996
"[165.0, 165.0, 195.0, 195.0]",0.045562,0.225,-0.5,0.045562
"[205.0, 165.0, 235.0, 195.0]",0,0,0,0
"[5.0, 205.0, 35.0, 235.0]",0,0,0,0
"[45.0, 205.0, 75.0, 235.0]",0.0,0.0,0.0,-0.145339
"[85.0, 205.0, 115.0, 235.0]",-0.083126,0.0,-0.130715,0.0
"[125.0, 205.0, 155.0, 235.0]",0,0,0,0
"[165.0, 205.0, 195.0, 235.0]",0.10125,0.225,0.5,-0.5
"[205.0, 205.0, 235.0, 235.0]",0,0,0,0